NOTICIA DE REFERENCIA: https://www.20minutos.es/noticia/4180255/0/la-revuelta-feminista-toma-espana-pero-con-menor-asistencia-que-en-los-dos-ultimos-anos/
Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia
2019-12-05T14:45:04Z	https://www.20minutos.es/noticia/4079480/0/indigena-increpo-almeida-tambien-quiere-hablar-sanchez-debe-cuidar-tierra-no-hace/
2019-12-05T12:52:52Z	https://www.20minutos.es/noticia/4078983/0/greta-thunberg-descarta-burro-viajara-noche-lisboa-madrid-tren-asistir-marcha-clima-cop25/
2019-12-04T18:58:59Z	https://www.20minutos.es/videos/internacional/4078484-greta-thunberg-dice-que-ira-a-madrid-antes-del-viernes/
2019-12-03T20:24:26Z	https://www.20minutos.es/noticia/4077132/0/pequeno-nicolas-tambien-entra-cumbre-clima-estoy-acreditado-tengo-diferentes-reuniones/
2019-12-03T18:50:29Z	https://www.20minutos.es/noticia/4076918/0/camino-greta-madrid-como-llegara-cuales-objetivos-cop25/
2019-12-03T17:31:28Z	https://www.20minutos.es/videos/nacional/4076955-los-jovenes-los-otros-lideres-de-la-cop25/
2019-10-26T12:19:02Z	https://www.20minutos.es/videos/economia/4031069-franco-ve-sospechoso-el-urbanismo-de-espinosa-y-monasterio/
2019-10-25T19:51:42Z	https://www.20minutos.es/noticia/4030716/0/sanchez-confiesa-exhumacion-franco-provoco-enorme-orgullo-emocion/
2019-10-25T18:31:44Z	https://www.20minutos.es/noticia/4030651/0/significado-tiene-bandera-cubria-feretro-francisco-franco/
2019-10-25T14:54:19Z	https://www.20minutos.es/noticia/4030271/0/queipo-llano-golpista-cuyos-restos-seran-proximamente-exhumados-basilica-macarena-sevilla/
2019-10-25T13:35:07Z	https://www.20minutos.es/videos/nacional/4030102-tension-a-la-salida-de-la-familia-franco-de-mingorrubio/
2019-10-25T13:26:44Z	https://www.20minutos.es/noticia/4030056/0/gobierno-analiza-viva-franco/
2019-10-25T12:34:55Z	https://www.20minutos.es/noticia/4029928/0/gobierno-valle-caidos-recordar-victimas/
2019-10-24T21:10:02Z	https://www.20minutos.es/videos/economia/4029147-ultraderechistas-homenajean-al-dictador-francisco-franco/
2019-10-23T17:31:28Z	https://www.20minutos.es/videos/economia/4027100-el-gobierno-instalara-un-escaner-para-que-no-se-grabe-la-exhumacion/
2019-10-23T16:46:59Z	https://www.20minutos.es/noticia/4027006/0/abascal-muertos-tutankamon/
2019-10-23T16:38:04Z	https://www.20minutos.es/noticia/4026908/0/iglesias-colau-reunen-barcelona/
2019-10-21T06:50:43Z	https://www.20minutos.es/noticia/3808340/0/ultimas-noticias-cataluna-barcelona-gestion-crisis-sentencia-proces-directo/
2019-10-20T16:56:44Z	https://www.20minutos.es/noticia/3808018/0/panteon-enterrara-franco-pago-fondos-paro-costo-millones-antiguas-pesetas/
2019-10-20T06:39:13Z	https://www.20minutos.es/noticia/3806619/0/helicoptero-forense-sin-honores-gobierno-ultima-exhumacion-franco-valle-caidos/
2019-10-18T15:14:27Z	https://www.20minutos.es/noticia/3806470/0/simpatizante-vox-quema-camisetas-barca-proces/
2019-10-17T11:57:31Z	https://www.20minutos.es/noticia/3804476/0/salvaguarda-irlandesa-cambio-acuerdo-brexit-reino-unido-union-europea/
2019-10-17T09:43:20Z	https://www.20minutos.es/noticia/3804227/0/brexit-union-europea-reino-unido-llegan-acuerdo/
2019-10-16T20:53:03Z	https://www.20minutos.es/noticia/3803891/0/herido-camara-alcanzado-objeto-lanzado-manifestantes-barcelona/
2019-10-16T18:44:01Z	https://www.20minutos.es/videos/nacional/zEGQRVZ8-enfrentamientos-y-golpes-entre-manifestantes-en-sol/
2019-10-15T18:26:36Z	https://www.20minutos.es/noticia/3802330/0/supremo-estudiara-otro-recurso-fundacion-nacional-francisco-franco-contra-exhumacion/
2019-10-14T05:33:43Z	https://www.20minutos.es/noticia/3799576/0/ultimas-noticias-proces-cataluna-elecciones-generales/
2019-10-13T15:04:36Z	https://www.20minutos.es/noticia/3799197/0/casado-sanchez-no-puede-ponerse-casco-bombero-crear-incendio/
2019-10-13T11:25:54Z	https://www.20minutos.es/noticia/3798993/0/gobierno-contrata-funeraria-exhumacion-franco/
2019-10-13T06:41:33Z	https://www.20minutos.es/noticia/3798775/0/rebelion-ahora-descarta-tribunal-supremo-forzo-suspension-diputados/
2019-10-12T16:10:43Z	https://www.20minutos.es/noticia/3798693/0/pedro-sanchez-imviable-perder-elecciones-generales/
2019-10-12T13:19:20Z	https://www.20minutos.es/noticia/3798562/0/guardia-civil-impide-entrada-valle-caidos/
2019-10-11T12:36:42Z	https://www.20minutos.es/noticia/3797622/0/gobierno-ordena-cierre-inmediato-valle-caidos-exhumacion-tarde25-octubre/
2019-10-10T12:58:36Z	https://www.20minutos.es/noticia/3796167/0/supremo-desestima-recursos-iexhumacion-autoriza-entrar-valle-caidos/
2019-10-06T12:48:47Z	https://www.20minutos.es/noticia/3790692/0/casado-acuerdos-elecciones-psoe/
2019-10-06T12:27:11Z	https://www.20minutos.es/noticia/3790284/0/vox-acto-vistalegre-precampana-elecciones-generales-10-n/
2019-10-02T14:48:50Z	https://www.20minutos.es/noticia/3786334/0/junta-electoral-insta-celaa-no-hacer-valoraciones-electoralistas-desde-sala-prensa-moncloa/
2019-10-02T12:13:35Z	https://www.20minutos.es/noticia/3786030/0/relator-155-ley-seguridad-nacional-giro-sanchez-cataluna-10n/
2019-04-27T11:15:54Z	https://www.20minutos.es/noticia/3625721/0/proponen-sustituir-cubierta-quemada-notre-dame/
2019-04-20T11:55:12Z	https://www.20minutos.es/noticia/3619811/0/espectacular-foto-pixeles-notre-dame-incendio/
2019-04-19T05:49:37Z	https://www.20minutos.es/noticia/3619227/0/incendio-notre-dame-catedral-causa-cortocircuito/
2019-04-17T15:31:22Z	https://www.20minutos.es/noticia/3618455/0/macron-quiere-que-notre-dame-este-terminada-para-los-juegos-olimpicos-de-paris-2024/
2019-04-16T14:03:01Z	https://www.20minutos.es/noticia/3617350/0/aplicacion-directa-agua-notre-dame-peligrosa/
2019-04-16T12:05:21Z	https://www.20minutos.es/noticia/3617165/0/que-se-ha-salvado-y-que-se-ha-quemado-incendio-notre-dame/
2019-04-15T19:49:59Z	https://www.20minutos.es/noticia/3616689/0/incendio-notre-dame-icono-arquitectonico-literario/
2019-04-15T17:17:43Z	https://www.20minutos.es/noticia/3616618/0/incendio-notre-dame-paris/
2019-03-25T15:55:53Z	https://www.20minutos.es/noticia/3596992/0/may-admite-no-tiene-apoyos-plan-brexit/
2019-03-25T14:54:57Z	https://www.20minutos.es/videos/nacional/ajnsJNO4-el-teniente-de-la-guardia-civil-durante-el-registro-del-20-s-si-salimos-nos-habrian-machacado/
2019-03-24T08:20:31Z	https://www.20minutos.es/noticia/3595867/0/ministros-britanicos-conspiracion-dimision-theresa-may/
2019-03-22T08:57:09Z	https://www.20minutos.es/noticia/3594470/0/millones-firmas-para-revocar-brexit/
2019-03-20T07:51:00Z	https://www.20minutos.es/noticia/3592231/0/may-no-solicita-prorroga-brexit/
